Company Name,Job Title,Role,Salaries Reported,Location,Salary
MAERSK,Data Scientist,Specialist,2,Mumbai,"₹1,43,100/mo"
iQuanti,Data Scientist,Specialist,3,Bangalore,"₹1,70,537/mo"
Aptus Data Labs,Data Analyst,Specialist,8,Bangalore,"₹5,19,599/yr"
Cisco Systems,Data Scientist,Specialist,7,Bangalore,"₹14,65,641/yr"
Hero MotoCorp,Machine Learning Engineer,Specialist,1,New Delhi,"₹8,28,777/yr"
Karvy Data Management Services (India),Data Scientist,Specialist,1,Hyderabad,"₹8,59,906/yr"
Kantar (Worldpanel Division),Data Engineer,Specialist,1,Hyderabad,"₹7,33,769/yr"
ICICI Lombard General Insurance Company Limited,Data Scientist,Specialist,1,Mumbai,"₹8,14,476/yr"
OYO,Data Analyst,Specialist,3,New Delhi,"₹4,06,548/yr"
Allegion,Data Scientist,Specialist,1,Bangalore,"₹12,88,025/yr"
Robert Bosch India,Data Scientist,Specialist,6,Bangalore,"₹10,40,493/yr"
Mu Sigma,Data Engineer,Specialist,1,Hyderabad,"₹10,04,884/yr"
ICICI Bank,Data Scientist,Specialist,1,New Delhi,"₹2,14,704/yr"
Tata Consultancy Services,Junior Data Scientist,Specialist,1,Pune,"₹19,37,295/yr"
Paramount Health Services(TPA) Pvt.,Machine Learning Engineer,Specialist,1,Mumbai,"₹28,632/mo"
Genpact,Data Scientist,Specialist,1,Bangalore,"₹1,48,572/yr"
KOGENTiX,Data Engineer,Specialist,1,Hyderabad,"₹7,64,702/yr"
Guidewire,Machine Learning Engineer,Specialist,1,Hyderabad,"₹12,00,000/yr"
LTI,Machine Learning Engineer,Manager,1,Mumbai,"₹29,566/mo"
Publicis Sapient,Data Analyst,Specialist,7,New Delhi,"₹56,741/mo"
Ecozen Solutions,Data Science,Specialist,1,Pune,"₹24,427/mo"
Olcademy,Data Engineer,Manager,1,New Delhi,"₹5,62,708/yr"
Wibmo,Machine Learning Engineer,Specialist,1,Bangalore,"₹15,04,836/yr"
LTI,Data Scientist,Specialist,1,Mumbai,"₹6,13,163/yr"
Dell Technologies,Data Analyst,Manager,1,New Delhi,"₹15,29,331/yr"
R Systems,Data Scientist,Specialist,5,New Delhi,"₹18,87,245/yr"
GTL Limited,Data Analyst,Specialist,1,Pune,"₹6,37,252/yr"
ClearQuote,Machine Learning Engineer,Specialist,1,Bangalore,"₹6,96,828/yr"
Artificial Learning Systems,Data Scientist,Manager,1,Bangalore,"₹34,84,438/yr"
Voice Data Solutions,Data Scientist,Specialist,1,Bangalore,"₹20,46,452/yr"
Symbiosis Centre for Applied Artificial Intelligence,Machine Learning Engineer,Specialist,1,Pune,"₹61,080/yr"
Kiwi labs,Data Scientist,Specialist,1,Bangalore,"₹2,84,257/mo"
KNOEMA,Data Engineer,Specialist,1,Bangalore,"₹11,82,371/yr"
Aegon,Senior Data Scientist,Specialist,1,Pune,"₹25,08,152/yr"
United Airlines,Data Analyst,Specialist,3,New Delhi,"₹8,80,573/yr"
Faststream Technologies,Machine Learning Engineer,Manager,1,Bangalore,"₹34,881/mo"
Optum Global Solutions India,Data Analyst,Specialist,2,New Delhi,"₹81,910/mo"
LTI,Data Scientist,Specialist,1,Hyderabad,"₹10,41,195/yr"
Barclays,Machine Learning Engineer,Specialist,2,Pune,"₹20,50,654/yr"
D. E. Shaw India,Data Scientist,Manager,1,Hyderabad,"₹5,09,864/mo"
Crown Holdings,Data Analyst,Specialist,1,Hyderabad,"₹7,52,418/yr"
Tata Consultancy Services,Data Engineer,Specialist,19,Mumbai,"₹5,00,000/yr"
Denave,Data Analyst,Specialist,7,New Delhi,"₹4,17,179/yr"
BYJU'S,Machine Learning Engineer,Specialist,1,New Delhi,"₹1,048/hr"
Tata Consultancy Services,Data Analyst,Specialist,1,Mumbai,"₹2,64,888/yr"
Wipro,Data Scientist,Specialist,3,Mumbai,"₹3,64,416/yr"
ABC,Machine Learning Engineer,Specialist,1,Mumbai,"₹7,52,418/yr"
Ithink Technologies,Data Scientist,Specialist,1,Bangalore,"₹3,13,195/yr"
Yogesh and Jain,Data Analyst,Specialist,1,Pune,"₹16,666/mo"
Maybank,Data Scientist,Specialist,1,Bangalore,"₹6,79,272/yr"
Colt Technology Services,Data Scientist,Specialist,1,Bangalore,"₹10,00,000/yr"
Sparks,Data Analyst,Specialist,1,Mumbai,"₹1,49,184/yr"
Mercer,Data Analyst,Specialist,8,New Delhi,"₹4,00,410/yr"
Tata Consultancy Services Big,Data Engineer,Manager,1,Mumbai,"₹1,32,417/mo"
Adobe,Data Engineer,Specialist,1,New Delhi,"₹4,13,830/yr"
Javis,Data Engineer,Manager,1,Mumbai,"₹44,26,138/yr"
SS Supply Chain Solutions,Data Analyst,Manager,1,Pune,"₹16,34,513/yr"
Anonymous Content,Data Analyst,Specialist,3,Bangalore,"₹5,21,474/yr"
J.P. Morgan,Data Scientist,Manager,1,Bangalore,"₹44,79,563/yr"
Rplus Analytics,Data Scientist,Specialist,1,Bangalore,"₹38,08,049/yr"
CoRover,Data Scientist,Specialist,1,Bangalore,"₹1,33,704/yr"
Bank of America,Data Scientist,Manager,1,New Delhi,"₹38,99,819/yr"
NTT DATA,Data Engineer,Specialist,3,Bangalore,"₹4,53,157/yr"
Logipro Software,Data Engineer,Manager,1,Bangalore,"₹7,46,276/yr"
Freshers.com,Data Scientist,Specialist,1,Bangalore,"₹5,54,844/yr"
Symphony Teleca,Data Scientist,Specialist,1,Bangalore,"₹71,039/mo"
Accenture,Senior Data Scientist,Specialist,1,Pune,"₹89,717/mo"
GE,Data Engineer,Specialist,1,Bangalore,"₹3,86,952/yr"
Pegasystems,Data Scientist,Specialist,1,Bangalore,"₹11,98,038/yr"
ReferenceGlobe,Data Analyst,Specialist,2,Hyderabad,"₹1,80,440/yr"
Encora,Data Scientist,Specialist,2,Bangalore,"₹12,56,429/yr"
Elasto Tech Industries,Data Scientist,Specialist,1,Bangalore,"₹8,83,159/yr"
Sandcube Analytics,Data Analyst,Specialist,6,Bangalore,"₹1,74,360/yr"
Yatra Online Pvt Ltd,Data Analyst,Manager,1,New Delhi,"₹1,37,605/mo"
Karvy Computershare,Data Analyst,Specialist,3,Bangalore,"₹1,66,535/yr"
Mahindra,Data Science,Specialist,1,Pune,"₹2,03,748/yr"
Hexaware Technologies,Data Scientist,Specialist,1,Hyderabad,"₹6,18,995/yr"
Mobility Quest,Machine Learning Engineer,Specialist,1,New Delhi,"₹1,02,738/mo"
Atlan,Data Scientist,Specialist,2,New Delhi,"₹2,08,344/yr"
Datametica,Junior Data Scientist,Specialist,1,Pune,"₹4,78,015/yr"
Trendwise Analytics,Data Scientist,Specialist,1,Bangalore,"₹4,81,017/yr"
Ericsson IT Solutions & Services,Data Scientist,Specialist,5,Bangalore,"₹20,09,790/yr"
RateGain,Data Scientist,Specialist,2,New Delhi,"₹19,61,700/yr"
NetApp,Data Engineer,Specialist,1,Bangalore,"₹20,14,668/yr"
SRI International,Data Engineer,Specialist,1,Pune,"₹3,02,693/yr"
Bajaj Finance,Data Analyst,Specialist,2,Pune,"₹13,88,485/yr"
3K Technologies,Data Scientist,Specialist,2,Bangalore,"₹7,98,116/yr"
Virtusa,Data Engineer,Specialist,3,Hyderabad,₹570/hr
J.P. Morgan,Data Engineer,Specialist,2,Hyderabad,"₹10,84,680/yr"
DataVal Analytics,Machine Learning Engineer,Manager,1,Bangalore,"₹16,69,311/yr"
Levi Strauss,Data Scientist,Specialist,1,Bangalore,"₹4,72,514/yr"
Trident Information Systems,Data Scientist,Specialist,1,Bangalore,"₹4,81,741/yr"
Virtusa,Data Scientist,Specialist,1,Mumbai,"₹37,836/mo"
Zeksystems,Machine Learning Engineer,Specialist,1,Bangalore,"₹5,50,000/yr"
Ferromatik Milacron,Machine Learning Engineer,Specialist,1,Pune,"₹23,712/mo"
McKinney and Company,Data Analyst,Specialist,2,New Delhi,"₹12,39,375/yr"
Quantiphi,Machine Learning Engineer,Specialist,81,Mumbai,"₹8,39,303/yr"
iNeuron,Machine Learning Engineer,Specialist,1,Bangalore,"₹61,080/yr"
AppZen,Junior Data Scientist,Specialist,1,Pune,"₹1,24,895/mo"
Ameex,Data Scientist,Specialist,1,Hyderabad,"₹4,29,953/yr"
GCC services,Data Scientist,Specialist,1,Bangalore,"₹12,37,215/yr"
HDFC Standard Life Insurance,Data Scientist,Specialist,4,Bangalore,"₹11,77,531/yr"
Mercedes-Benz International,Machine Learning Engineer,Specialist,1,Bangalore,"₹5,15,940/yr"
Prodotti Poliplastici,Data Scientist,Specialist,1,Bangalore,"₹5,06,989/yr"
Jocata,Machine Learning Engineer,Specialist,1,Hyderabad,"₹1,20,876/yr"
ZS Associates,Data Scientist,Manager,1,Bangalore,"₹1,590/hr"
Prometheus Group,Data Scientist,Specialist,1,Bangalore,"₹20,00,000/yr"
Hitachi Consulting,Data Scientist,Manager,1,Hyderabad,"₹51,25,112/yr"
First Student,Data Analyst,Specialist,5,Mumbai,"₹3,66,885/yr"
Sysark,Machine Learning Engineer,Specialist,1,Hyderabad,₹329/hr
Barclays,Data Scientist,Specialist,3,Pune,"₹17,33,746/yr"
MapmyIndia,Data Engineer,Manager,1,New Delhi,"₹52,119/mo"
AXA,Data Scientist,Specialist,1,Pune,"₹10,70,000/yr"
Ivy,Data Analyst,Specialist,3,Hyderabad,"₹80,586/mo"
Icertis,Machine Learning Engineer,Specialist,1,Pune,"₹1,65,805/mo"
HSBC Software Development India,Data Engineer,Specialist,1,Pune,"₹7,33,769/yr"
Maxgen Technologies,Data Science,Manager,1,Pune,"₹54,213/mo"
American Express,Data Scientist,Specialist,4,Bangalore,"₹16,93,208/yr"
PeopleStrong Technologies,Machine Learning Engineer,Specialist,1,New Delhi,"₹12,40,055/yr"
DXC Technology,Data Engineer,Specialist,1,Hyderabad,"₹13,17,316/yr"
ExxonMobil,Data Scientist,Manager,1,Bangalore,"₹74,71,867/yr"
Amdocs,Data Scientist,Specialist,3,Pune,"₹7,18,534/yr"
DataBeat,Data Analyst,Specialist,4,Hyderabad,"₹4,03,524/yr"
Colgate-Palmolive,Data Engineer,Manager,1,Mumbai,"₹18,75,113/yr"
C-DAC,Data Scientist,Specialist,1,Pune,"₹4,49,896/yr"
DuPont,Data Scientist,Specialist,1,Hyderabad,₹769/hr
Customer Centria,Data Scientist,Specialist,1,Bangalore,"₹4,44,272/yr"
Episource,Data Scientist,Manager,1,Mumbai,"₹21,42,102/yr"
WNS,Data Scientist,Specialist,1,New Delhi,"₹3,82,968/yr"
Polaris FT,Data Analyst,Specialist,1,Hyderabad,"₹53,679/mo"
Tata Consultancy Services,Data Analyst,Specialist,48,Bangalore,₹228/hr
TCS,Data Scientist,Manager,1,Bangalore,"₹1,11,10,922/yr"
Artificial Penetration,Data Scientist,Specialist,2,Hyderabad,"₹5,85,088/yr"
Wipro,Data Scientist,Specialist,7,Pune,"₹11,50,000/yr"
IBM,Data Engineer,Specialist,10,New Delhi,"₹6,01,475/yr"
L&T Technology Services,Data Analyst,Specialist,1,Mumbai,"₹6,77,584/yr"
Go Digital,Data Scientist,Specialist,1,Pune,"₹50,502/mo"
Evive,Data Scientist,Specialist,1,Bangalore,"₹12,38,390/yr"
Bäckerei-Conditorei Fleischli,Data Engineer,Specialist,1,New Delhi,"₹12,42,238/yr"
Government of India,Data Scientist,Specialist,1,New Delhi,"₹8,70,948/yr"
Fidelity Investments,Data Analyst,Specialist,3,Bangalore,"₹8,98,810/yr"
Yatra Online Pvt Ltd,Data Scientist,Specialist,2,New Delhi,"₹6,27,616/yr"
BlueOptima,Machine Learning Engineer,Specialist,2,Bangalore,"₹11,80,965/yr"
Leadge Business Services,Data Analyst,Specialist,1,Mumbai,"₹3,60,000/yr"
Verizon,Data Engineer,Specialist,1,Hyderabad,"₹10,20,348/yr"
ICE Data Services,Data Analyst,Specialist,2,Hyderabad,"₹4,30,475/yr"
Bahar Infotech,Data Analyst,Specialist,2,Mumbai,"₹15,189/mo"
Brainwave Consulting,Data Science,Manager,1,Pune,"₹17,979/mo"
ZS Associates,Data Science Manager,Manager,2,Pune,"₹46,19,021/yr"
Abbott,Data Scientist,Specialist,1,Bangalore,"₹11,24,740/yr"
Credit Saison India,Data Scientist,Specialist,1,Bangalore,"₹23,32,149/yr"
American Express,Data Analyst,Specialist,15,New Delhi,"₹11,34,824/yr"
INSOFE,Data Scientist,Specialist,7,Bangalore,"₹6,00,000/yr"
Google,Machine Learning Engineer,Specialist,1,Pune,"₹24,80,112/yr"
[24]7.ai,Data Engineer,Specialist,1,Bangalore,"₹74,785/mo"
Faststream Technologies,Machine Learning Engineer,Specialist,1,Bangalore,"₹1,42,272/yr"
Trinity Mobility,Data Scientist,Specialist,1,Bangalore,₹300/hr
GSPANN Technologies,Data Engineer,Specialist,1,Hyderabad,"₹66,992/mo"
Lumiq (India),Data Engineer,Specialist,4,New Delhi,"₹5,01,180/yr"
Impressico Business Solutions,Data Engineer,Specialist,1,New Delhi,"₹6,02,930/yr"
FICO,Data Scientist,Specialist,5,Bangalore,"₹1,36,175/mo"
IBM,Data Engineer,Specialist,21,Pune,"₹59,930/mo"
Artigiani Technologies,Data Scientist,Specialist,1,Bangalore,"₹7,16,258/yr"
Rajeev Kaul CPA PC,Data Engineer,Specialist,1,Pune,"₹5,37,441/yr"
MSCI,Data Scientist,Specialist,1,Mumbai,"₹6,09,826/yr"
Extend Future,Machine Learning Consultant,Specialist,1,Pune,₹88/hr
Siemens Healthineers,Data Engineer,Specialist,2,Bangalore,"₹16,21,262/yr"
RisingRoot Technologies,Data Scientist,Manager,1,Hyderabad,"₹5,40,240/yr"
Mercedes-Benz Research and Development India,Machine Learning Engineer,Specialist,2,Bangalore,"₹15,21,127/yr"
Xeco,Data Scientist,Specialist,2,Pune,"₹4,99,961/yr"
ORMAE,Data Scientist,Specialist,2,Bangalore,"₹2,02,344/yr"
Nones,Data Engineer,Specialist,2,Bangalore,"₹6,28,661/yr"
Airbus,Data Scientist,Specialist,1,Bangalore,"₹10,27,716/yr"
Tata Elxsi,Machine Learning Engineer,Specialist,1,Bangalore,₹342/hr
Fresher,Data Scientist,Specialist,1,Bangalore,"₹6,00,000/yr"
Metrics4 Analytics,Data Analyst,Specialist,6,Hyderabad,"₹39,226/mo"
Qualcomm,Machine Learning Engineer,Specialist,1,Bangalore,"₹15,50,069/yr"
Scalein,Data Scientist,Specialist,1,Bangalore,"₹14,98,750/yr"
Snap,Data Scientist,Specialist,1,Bangalore,"₹44,98,962/yr"
Unified Healthcare Group,Data Scientist,Specialist,3,New Delhi,₹577/hr
Yottaasys,Data Scientist,Specialist,1,Bangalore,"₹14,72,145/yr"
Fynd,Machine Learning Engineer,Specialist,2,Mumbai,"₹10,12,128/yr"
GlaxoSmithKline,Data Engineer,Specialist,2,Bangalore,"₹8,20,984/yr"
Self Opportunity,Machine Learning Engineer,Specialist,1,Hyderabad,"₹3,10,788/yr"
Epsilon,Data Analyst,Specialist,12,Bangalore,"₹10,28,758/yr"
Phenom,Data Scientist,Specialist,1,Hyderabad,"₹23,71,168/yr"
Neha Bhakat,Data Scientist,Specialist,1,Bangalore,"₹58,334/mo"
ANZ Bank,Data Analyst,Specialist,3,Bangalore,"₹6,43,705/yr"
Brane Enterprises (nslhub),Data Scientist,Specialist,3,Hyderabad,"₹16,65,911/yr"
Priyanshu Plastic,Machine Learning Engineer,Specialist,1,Mumbai,"₹1,429/hr"
Lexitas,Machine Learning Engineer,Specialist,1,Bangalore,"₹5,04,000/yr"
Tata Health,Data Scientist,Specialist,1,Bangalore,"₹11,24,740/yr"
BYJU'S,Data Analyst,Specialist,2,Pune,"₹4,72,340/yr"
Prudential plc,Data Analyst,Specialist,3,Mumbai,"₹12,26,327/yr"
Fresher,Data Analyst,Specialist,2,Mumbai,"₹2,74,728/yr"
Daimler,Data Engineer,Specialist,1,Bangalore,"₹2,82,326/mo"
PharmEasy,Data Engineer,Specialist,1,Mumbai,"₹2,33,580/yr"
IIFL,Data Analyst,Specialist,2,Mumbai,"₹2,76,376/yr"
Amazon,Data Scientist,Specialist,15,Hyderabad,"₹16,93,961/yr"
Infosys,Data Scientist,Specialist,30,Bangalore,"₹9,08,764/yr"
Walmart eCommerce,Data Scientist,Specialist,2,Bangalore,"₹29,23,356/yr"
GMR Hyderabad International Airport,Data Analyst,Specialist,1,Hyderabad,"₹57,653/mo"
Santronix,Data Engineer,Specialist,1,Pune,"₹1,80,876/yr"
MediaAgility,Data Engineer,Specialist,1,New Delhi,"₹38,178/mo"
TVS Motor Company,Data Scientist,Specialist,3,Bangalore,₹591/hr
Trinity Mobility,Data Scientist,Manager,1,Bangalore,"₹16,21,206/yr"
Humonics,Data Scientist,Specialist,4,New Delhi,"₹77,422/mo"
Amobee,Data Scientist,Specialist,1,Pune,₹489/hr
Tiger Analytics,Data Engineer,Specialist,3,Bangalore,"₹12,08,801/yr"
Citi,Data Scientist,Specialist,2,Pune,"₹1,31,479/mo"
Zomato,Data Analyst,Manager,1,New Delhi,"₹26,28,278/yr"
Urban Company,Data Analyst,Specialist,4,New Delhi,"₹1,20,444/yr"
RAACOM Infosystems,Data Engineer,Specialist,1,Hyderabad,"₹5,64,654/yr"
Tata Consultancy Services,Data Science,Specialist,1,Pune,₹241/hr
df,Machine Learning Engineer,Specialist,1,Mumbai,"₹14,35,687/yr"
Infosys,Data Analyst,Specialist,5,New Delhi,"₹11,30,085/yr"
Happay,Data Scientist,Specialist,1,Bangalore,"₹2,598/hr"
Tech Mahindra,Data Engineer,Specialist,1,Pune,"₹9,08,076/yr"
Wipro Technologies,Machine Learning Engineer,Specialist,2,Bangalore,"₹5,75,209/yr"
CRISIL,Data Scientist,Specialist,1,Hyderabad,₹468/hr
NumberMall,Machine Learning Engineer,Specialist,1,Hyderabad,"₹13,29,912/yr"
BankBazaar,Data Analyst,Specialist,3,Bangalore,"₹7,25,281/yr"
AFFINSYS AI,Machine Learning Engineer,Specialist,1,Bangalore,"₹14,50,359/yr"
ABC,Data Engineer,Specialist,4,Bangalore,"₹10,68,485/yr"
Salesforce,Data Analyst,Specialist,4,Hyderabad,"₹12,05,626/yr"
Tata Consultancy Services,Senior Data Scientist,Specialist,1,Pune,"₹3,24,089/yr"
XYZ (Turkey),Data Analyst,Specialist,4,Bangalore,"₹76,309/mo"
Mindbody,Machine Learning Engineer,Specialist,1,Pune,"₹12,00,000/yr"
Molecular Connections,Data Scientist,Specialist,1,Hyderabad,"₹5,42,640/yr"
BizViz Technologies,Data Analyst,Specialist,3,Bangalore,"₹5,42,067/yr"
NCBS,Data Scientist,Specialist,1,Bangalore,"₹4,25,761/yr"
Apptware,Data Science,Specialist,1,Pune,"₹1,47,348/yr"
NS Matrix Services,Data Analyst,Manager,1,New Delhi,"₹10,04,240/yr"
MOURI Tech,Data Scientist,Specialist,1,Hyderabad,"₹21,116/mo"
